method,family,nodes,edges,makespan,slr,runtime_ms,motifs
HOFT,ER,20,16,88.0,1.2941176470588236,8.02469253540039,"{""chain_nodes"": 4, ""fork_nodes"": 4, ""join_nodes"": 3, ""diamond_like_nodes"": 0}"
HOFT,ER,30,59,146.0,1.3035714285714286,2.0208358764648438,"{""chain_nodes"": 1, ""fork_nodes"": 18, ""join_nodes"": 20, ""diamond_like_nodes"": 9}"
HOFT,BA,50,85,207.0,1.4892086330935252,10.18214225769043,"{""chain_nodes"": 4, ""fork_nodes"": 26, ""join_nodes"": 29, ""diamond_like_nodes"": 14}"
HOFT,WS,30,44,146.0,1.4038461538461537,0.0,"{""chain_nodes"": 3, ""fork_nodes"": 14, ""join_nodes"": 15, ""diamond_like_nodes"": 4}"
HOFT,BA,30,45,239.0,1.1435406698564594,0.0,"{""chain_nodes"": 7, ""fork_nodes"": 11, ""join_nodes"": 15, ""diamond_like_nodes"": 5}"
HOFT,WS,30,40,118.0,1.4390243902439024,8.108139038085938,"{""chain_nodes"": 3, ""fork_nodes"": 13, ""join_nodes"": 15, ""diamond_like_nodes"": 3}"
HOFT,BA,50,82,247.0,1.5153374233128833,2.1233558654785156,"{""chain_nodes"": 9, ""fork_nodes"": 22, ""join_nodes"": 19, ""diamond_like_nodes"": 7}"
HOFT,ER,50,107,204.0,1.4166666666666667,10.437965393066406,"{""chain_nodes"": 2, ""fork_nodes"": 28, ""join_nodes"": 29, ""diamond_like_nodes"": 13}"
HOFT,ER,50,107,267.0,1.552325581395349,8.01992416381836,"{""chain_nodes"": 2, ""fork_nodes"": 30, ""join_nodes"": 28, ""diamond_like_nodes"": 13}"
BO-Cold-Heuristic,MOTIF_JOIN,11,10,71.0,1.4489795918367347,0.0,"{""chain_nodes"": 0, ""fork_nodes"": 0, ""join_nodes"": 1, ""diamond_like_nodes"": 0}"
BO-Cold-Heuristic,ER,30,25,103.0,1.7758620689655173,2.0155906677246094,"{""chain_nodes"": 2, ""fork_nodes"": 8, ""join_nodes"": 5, ""diamond_like_nodes"": 0}"
BO-Cold-Heuristic,ER,50,118,248.0,1.2717948717948717,0.0,"{""chain_nodes"": 1, ""fork_nodes"": 30, ""join_nodes"": 32, ""diamond_like_nodes"": 17}"
BO-Cold-Heuristic,ER,20,16,84.0,1.2352941176470589,0.0,"{""chain_nodes"": 4, ""fork_nodes"": 4, ""join_nodes"": 3, ""diamond_like_nodes"": 0}"
BO-Cold-Heuristic,ER,30,59,148.0,1.3214285714285714,0.0,"{""chain_nodes"": 1, ""fork_nodes"": 18, ""join_nodes"": 20, ""diamond_like_nodes"": 9}"
BO-Cold-Heuristic,BA,50,85,215.0,1.5467625899280575,8.559703826904297,"{""chain_nodes"": 4, ""fork_nodes"": 26, ""join_nodes"": 29, ""diamond_like_nodes"": 14}"
BO-Cold-Heuristic,WS,30,44,161.0,1.5480769230769231,1.6181468963623047,"{""chain_nodes"": 3, ""fork_nodes"": 14, ""join_nodes"": 15, ""diamond_like_nodes"": 4}"
BO-Cold-Heuristic,BA,30,45,260.0,1.244019138755981,0.0,"{""chain_nodes"": 7, ""fork_nodes"": 11, ""join_nodes"": 15, ""diamond_like_nodes"": 5}"
BO-Cold-Heuristic,WS,30,40,128.0,1.5609756097560976,0.0,"{""chain_nodes"": 3, ""fork_nodes"": 13, ""join_nodes"": 15, ""diamond_like_nodes"": 3}"
BO-Cold-Heuristic,BA,50,82,253.0,1.5521472392638036,0.0,"{""chain_nodes"": 9, ""fork_nodes"": 22, ""join_nodes"": 19, ""diamond_like_nodes"": 7}"
BO-Cold-Heuristic,ER,50,107,213.0,1.4791666666666667,8.114099502563477,"{""chain_nodes"": 2, ""fork_nodes"": 28, ""join_nodes"": 29, ""diamond_like_nodes"": 13}"
BO-Cold-Heuristic,ER,50,107,248.0,1.441860465116279,2.117156982421875,"{""chain_nodes"": 2, ""fork_nodes"": 30, ""join_nodes"": 28, ""diamond_like_nodes"": 13}"
GNN-Imitation,MOTIF_JOIN,11,10,71.0,1.4489795918367347,0.0,"{""chain_nodes"": 0, ""fork_nodes"": 0, ""join_nodes"": 1, ""diamond_like_nodes"": 0}"
GNN-Imitation,ER,30,25,106.0,1.8275862068965518,0.0,"{""chain_nodes"": 2, ""fork_nodes"": 8, ""join_nodes"": 5, ""diamond_like_nodes"": 0}"
GNN-Imitation,ER,50,118,275.0,1.4102564102564104,8.051633834838867,"{""chain_nodes"": 1, ""fork_nodes"": 30, ""join_nodes"": 32, ""diamond_like_nodes"": 17}"
GNN-Imitation,ER,20,16,76.0,1.1176470588235294,0.0,"{""chain_nodes"": 4, ""fork_nodes"": 4, ""join_nodes"": 3, ""diamond_like_nodes"": 0}"
GNN-Imitation,ER,30,59,160.0,1.4285714285714286,2.1648406982421875,"{""chain_nodes"": 1, ""fork_nodes"": 18, ""join_nodes"": 20, ""diamond_like_nodes"": 9}"
GNN-Imitation,BA,50,85,203.0,1.460431654676259,0.0,"{""chain_nodes"": 4, ""fork_nodes"": 26, ""join_nodes"": 29, ""diamond_like_nodes"": 14}"
GNN-Imitation,WS,30,44,151.0,1.4519230769230769,0.0,"{""chain_nodes"": 3, ""fork_nodes"": 14, ""join_nodes"": 15, ""diamond_like_nodes"": 4}"
GNN-Imitation,BA,30,45,260.0,1.244019138755981,8.116483688354492,"{""chain_nodes"": 7, ""fork_nodes"": 11, ""join_nodes"": 15, ""diamond_like_nodes"": 5}"
