Algorithm,Variant,Family,Makespan
LLM,Original Algo + Configs + BO (LLM for Weight Generation),SPARSE_SPMV,406.4
LLM,Original Algo + Configs + BO (LLM for Weight Generation),FFT,237.33
LLM,Original Algo + Configs + BO (LLM for Weight Generation),ER,239.75
LLM,Original Algo + Configs + BO (LLM for Weight Generation),STENCIL,223.5
LLM,Original Algo + Configs + BO (LLM for Weight Generation),MOTIF_JOIN,530.0
LLM,Original Algo + Configs + BO (LLM for Weight Generation),WS,812.0
LLM,Original Algo + Configs + BO (LLM for Weight Generation),LU,426.5
LLM,Original Algo + Configs + BO (LLM for Weight Generation),CNN_LIKE,432.0
LLM,Original Algo + Configs + BO (LLM for Weight Generation),BA,306.0
LLM,Original Algo + Configs + BO (LLM for Weight Generation),GEMM,502.0
LLM,Original Algo + Configs + BO (LLM for Weight Generation),CHOLESKY,244.0
LLM,Original Algo + Configs + BO (LLM for Weight Generation),AES_LIKE,344.0
